206.0	1104.0 	1
862.0	390.0 	2
145.0	460.0 	3
1668.0	979.0 	4
91.0	954.0 	5
1664.0	1078.0 	4
1151.0	1665.0 	4
1039.0	397.0 	2
1300.0	148.0 	2
115.0	1501.0 	1
422.0	787.0 	5
1695.0	819.0 	4
1317.0	1672.0 	4
789.0	1481.0 	1
951.0	262.0 	2
1451.0	1283.0 	4
660.0	1511.0 	1
1418.0	1602.0 	4
1328.0	399.0 	2
123.0	1161.0 	1
564.0	639.0 	2
1109.0	1569.0 	4
629.0	1645.0 	1
1979.0	687.0 	4
830.0	274.0 	2
1402.0	579.0 	4
290.0	879.0 	5
1190.0	1201.0 	4
1307.0	1738.0 	4
605.0	1983.0 	1
1900.0	1562.0 	4
366.0	101.0 	3
962.0	24.0 	2
444.0	70.0 	3
1379.0	625.0 	4
1569.0	1855.0 	4
690.0	1905.0 	1
835.0	250.0 	2
12.0	1622.0 	1
1061.0	1773.0 	4
1749.0	489.0 	4
236.0	1741.0 	1
1488.0	735.0 	4
836.0	1478.0 	1
1181.0	408.0 	2
1120.0	1800.0 	4
1971.0	1397.0 	4
1847.0	872.0 	4
218.0	1162.0 	1
425.0	852.0 	1
1152.0	460.0 	2
838.0	1403.0 	1
252.0	1815.0 	1
1217.0	900.0 	4
133.0	107.0 	3
1487.0	1183.0 	4
409.0	888.0 	1
1948.0	577.0 	4
1798.0	1609.0 	4
1410.0	669.0 	4
658.0	707.0 	2
1979.0	559.0 	4
1186.0	1925.0 	4
974.0	506.0 	2
578.0	670.0 	2
1764.0	1389.0 	4
222.0	1621.0 	1
217.0	508.0 	3
1966.0	1947.0 	4
648.0	893.0 	1
1168.0	1307.0 	4
181.0	1991.0 	1
1670.0	1731.0 	4
1106.0	1591.0 	4
1484.0	854.0 	4
1865.0	390.0 	4
1297.0	1431.0 	4
1252.0	368.0 	2
98.0	689.0 	3
533.0	1071.0 	1
972.0	1963.0 	1
309.0	1599.0 	1
1328.0	1118.0 	4
714.0	255.0 	2
1283.0	1763.0 	4
251.0	284.0 	3
1921.0	1242.0 	4
1727.0	1103.0 	4
1363.0	1090.0 	4
1693.0	1815.0 	4
1565.0	134.0 	2
1196.0	362.0 	2
1231.0	1839.0 	4
527.0	517.0 	2
495.0	336.0 	2
927.0	967.0 	2
664.0	870.0 	1
1775.0	607.0 	4
884.0	1573.0 	1
1985.0	1461.0 	4
1675.0	57.0 	2
1485.0	172.0 	2
1493.0	1267.0 	4
523.0	338.0 	2
695.0	895.0 	1
325.0	1077.0 	1
202.0	1752.0 	1
1405.0	793.0 	4
33.0	34.0 	3
107.0	975.0 	5
697.0	1253.0 	1
