2,10,28,14,2
2,50,88,14,4
2,100,88,23,6
2,500,88,163,11
2,1000,60,351,12
2,2000,48,779,14
2,5000,48,2131,15
2,10000,47,4711,17
2,15000,49,7249,18
2,50000,21,29829,22
2,70000,21,41150,22
2,100000,21,62987,24
2,15,60,5,3
3,15000,22,18020,32
3,10,1,1,3
3,50,21,10,5
3,100,21,27,7
3,500,21,216,12
3,1000,21,504,14
3,2000,21,1082,15
3,5000,21,3989,22
3,10000,21,12173,34
3,15,20,2,3
3,50000,20,82377,45
3,70000,20,124191,49
3,100000,20,202816,56
4,15000,22,14634,21
4,15,20,2,3
4,50,20,14,6
4,100,20,35,7
4,500,20,307,13
4,1000,20,688,15
4,2000,20,1492,16
4,5000,20,4422,19
4,10000,20,8547,18
4,50000,20,56716,24
4,70000,20,78491,24
4,100000,20,107351,23
5,15000,22,23858,28
5,15,20,2,3
5,50,20,18,6
5,100,20,41,7
5,500,20,379,14
5,1000,20,815,15
5,2000,20,2241,20
5,5000,20,6173,23
5,10000,20,16978,31
5,50000,20,109166,39
5,70000,20,138693,36
5,100000,20,221497,41
6,15000,21,41489,43
6,15,20,2,2
6,50,20,16,5
6,100,20,49,7
6,500,20,434,14
6,1000,20,1138,18
6,2000,20,2623,20
6,5000,20,9593,30
6,10000,20,21784,34
6,50000,20,186629,59
6,70000,20,254031,57
6,100000,20,423727,67
7,15000,21,39943,36
7,15,20,3,2
7,50,20,21,5
7,100,20,60,8
7,500,20,644,18
7,1000,20,1385,20
7,2000,20,4210,29
7,5000,20,12890,36
7,10000,20,30469,42
7,50000,20,185220,51
7,70000,20,302894,60
7,100000,20,412034,57
8,15000,1,101414,80
8,15,20,3,2
8,50,6,19,4
9,15000,1,68127,50
