49.0 14.0 1
46.0 16.0 1
41.0 15.0 1
42.0 8.0 1
43.0 11.0 1
27.0 10.0 1
28.0 21.0 1
32.0 18.0 1
29.0 16.0 1
29.0 26.0 1
23.0 29.0 1
62.0 25.0 1
55.0 15.0 1
66.0 17.0 1
66.0 12.0 1
63.0 14.0 1
58.0 48.0 1
63.0 45.0 1
64.0 42.0 1
45.0 31.0 1
50.0 31.0 1
50.0 42.0 1
60.0 37.0 1
55.0 35.0 1
55.0 31.0 1
90.0 2.0 1
75.0 5.0 1
78.0 14.0 1
85.0 10.0 1
90.0 47.0 1
94.0 40.0 1
89.0 41.0 1
77.0 43.0 1
83.0 48.0 1
78.0 52.0 1
82.0 23.0 1
85.0 29.0 1
96.0 25.0 1
106.0 27.0 1
104.0 24.0 1
14.0 6.0 1
2.0 1.0 1
3.0 6.0 1
5.0 5.0 1
6.0 33.0 1
13.0 21.0 1
9.0 22.0 1
30.0 43.0 1
35.0 46.0 1
39.0 49.0 1
25.0 57.0 1
34.0 57.0 1
7.0 47.0 1
9.0 52.0 1
21.0 42.0 1
19.0 50.0 1
3.0 69.0 1
2.0 63.0 1
31.0 79.0 1
28.0 78.0 1
24.0 73.0 1
20.0 71.0 1
22.0 71.0 1
7.0 107.0 1
9.0 129.0 1
2.0 122.0 1
48.0 119.0 1
42.0 118.0 1
41.0 128.0 1
34.0 124.0 1
20.0 102.0 1
21.0 101.0 1
27.0 100.0 1
28.0 106.0 1
44.0 103.0 1
38.0 103.0 1
39.0 102.0 1
39.0 93.0 1
30.0 92.0 1
32.0 92.0 1
77.0 63.0 1
93.0 64.0 1
83.0 82.0 1
86.0 81.0 1
95.0 81.0 1
90.0 73.0 1
91.0 73.0 1
62.0 86.0 1
65.0 80.0 1
49.0 57.0 1
48.0 57.0 1
49.0 77.0 1
47.0 69.0 1
58.0 64.0 1
55.0 66.0 1
54.0 67.0 1
59.0 73.0 1
65.0 72.0 1
67.0 74.0 1
87.0 104.0 1
89.0 95.0 1
95.0 114.0 1
98.0 110.0 1
102.0 104.0 1
107.0 108.0 1
84.0 129.0 1
77.0 132.0 1
77.0 137.0 1
67.0 125.0 1
70.0 124.0 1
66.0 113.0 1
66.0 117.0 1
57.0 108.0 1
70.0 97.0 1
58.0 97.0 1
64.0 103.0 1
62.0 100.0 1
65.0 100.0 1
178.0 272.0 2
184.0 291.0 2
181.0 296.0 2
179.0 292.0 2
190.0 276.0 2
191.0 288.0 2
196.0 280.0 2
200.0 284.0 2
196.0 286.0 2
200.0 271.0 2
203.0 267.0 2
210.0 264.0 2
210.0 270.0 2
226.0 291.0 2
227.0 288.0 2
211.0 292.0 2
203.0 296.0 2
203.0 293.0 2
151.0 239.0 2
143.0 241.0 2
157.0 229.0 2
155.0 216.0 2
156.0 221.0 2
169.0 211.0 2
158.0 209.0 2
158.0 204.0 2
170.0 200.0 2
174.0 197.0 2
